start_ship,end_ship,path_length,total_distance,complete_path
100i,100i,1,0.0,100i
100i,125a,2,1.0,100i -> 125a
100i,135c,2,1.0,100i -> 135c
100i,300i,2,1.4142135623730951,100i -> 300i
100i,315p,2,1.7320508075688772,100i -> 315p
100i,325a,2,1.7320508075688772,100i -> 325a
100i,350r,2,1.7320508075688772,100i -> 350r
100i,400i,2,2.309401076758503,100i -> 400i
100i,600i Explorer,2,2.3664319132398464,100i -> 600i Explorer
100i,600i Touring,2,2.3664319132398464,100i -> 600i Touring
100i,85X,2,2.23606797749979,100i -> 85X
100i,890 Jump,2,2.3979157616563596,100i -> 890 Jump
100i,A1 Spirit,2,2.449489742783178,100i -> A1 Spirit
100i,A2 Hercules,2,2.598076211353316,100i -> A2 Hercules
100i,Apollo Medivac,2,2.6457513110645907,100i -> Apollo Medivac
100i,Apollo Triage,2,2.6457513110645907,100i -> Apollo Triage
100i,Ares Star Fighter Inferno,2,2.0,100i -> Ares Star Fighter Inferno
100i,Ares Star Fighter Ion,2,2.0,100i -> Ares Star Fighter Ion
100i,Arrastra,2,2.756809750418044,100i -> Arrastra
100i,Arrow,2,2.0,100i -> Arrow
100i,ATLS,2,2.0,100i -> ATLS
100i,Aurora CL,2,2.0,100i -> Aurora CL
100i,Aurora ES,2,1.7320508075688772,100i -> Aurora ES
100i,Aurora LN,2,2.0,100i -> Aurora LN
100i,Aurora LX,2,2.0,100i -> Aurora LX
100i,Aurora MR,2,2.0,100i -> Aurora MR
100i,Avenger Stalker,2,2.0,100i -> Avenger Stalker
100i,Avenger Titan,2,2.0,100i -> Avenger Titan
100i,Avenger Warlock,2,2.0,100i -> Avenger Warlock
100i,Ballista,2,2.449489742783178,100i -> Ballista
100i,Blade,2,2.0,100i -> Blade
100i,Buccaneer,2,2.0,100i -> Buccaneer
100i,C1 Spirit,2,2.449489742783178,100i -> C1 Spirit
100i,C2 Hercules,2,2.449489742783178,100i -> C2 Hercules
100i,C8 Pisces,2,2.516611478423583,100i -> C8 Pisces
100i,C8R Pisces,2,2.449489742783178,100i -> C8R Pisces
100i,C8X Pisces Expedition,2,2.516611478423583,100i -> C8X Pisces Expedition
100i,Carrack,2,2.581988897471611,100i -> Carrack
100i,Caterpillar,2,2.5495097567963922,100i -> Caterpillar
100i,Centurion,2,2.449489742783178,100i -> Centurion
100i,Constellation Andromeda,2,2.345207879911715,100i -> Constellation Andromeda
100i,Constellation Aquila,2,2.5495097567963922,100i -> Constellation Aquila
100i,Constellation Phoenix,2,2.5495097567963922,100i -> Constellation Phoenix
100i,Constellation Taurus,2,2.5495097567963922,100i -> Constellation Taurus
100i,Corsair,2,2.5495097567963922,100i -> Corsair
100i,Crucible,2,2.7838821814150108,100i -> Crucible
100i,CSV-SM,2,2.0,100i -> CSV-SM
100i,Cutlass Black,2,2.309401076758503,100i -> Cutlass Black
100i,Cutlass Blue,2,2.309401076758503,100i -> Cutlass Blue
100i,Cutlass Red,2,2.23606797749979,100i -> Cutlass Red
100i,Cutlass Steel,2,2.516611478423583,100i -> Cutlass Steel
100i,Cutter,2,2.0,100i -> Cutter
100i,Cutter Rambler,2,2.0,100i -> Cutter Rambler
100i,Cutter Scout,2,2.0,100i -> Cutter Scout
100i,Cyclone,2,2.449489742783178,100i -> Cyclone
100i,Cyclone AA,2,2.449489742783178,100i -> Cyclone AA
100i,Cyclone MT,2,2.516611478423583,100i -> Cyclone MT
100i,Cyclone RC,2,2.449489742783178,100i -> Cyclone RC
100i,Cyclone RN,2,2.449489742783178,100i -> Cyclone RN
100i,Cyclone TR,2,2.516611478423583,100i -> Cyclone TR
100i,Defender,2,2.449489742783178,100i -> Defender
100i,Dragonfly,2,2.449489742783178,100i -> Dragonfly
100i,E1 Spirit,2,2.6457513110645907,100i -> E1 Spirit
100i,Eclipse,2,2.0,100i -> Eclipse
100i,Endeavor,2,2.756809750418044,100i -> Endeavor
100i,Expanse,2,2.23606797749979,100i -> Expanse
100i,F7A Hornet Mk I,2,2.0,100i -> F7A Hornet Mk I
100i,F7A Hornet Mk II,2,2.23606797749979,100i -> F7A Hornet Mk II
100i,F7C Hornet Mk I,2,2.0,100i -> F7C Hornet Mk I
100i,F7C Hornet Mk II,2,2.0,100i -> F7C Hornet Mk II
100i,F7C-M Super Hornet,2,2.449489742783178,100i -> F7C-M Super Hornet
100i,F7C-R Hornet Tracker,2,2.0,100i -> F7C-R Hornet Tracker
100i,F7C-R Hornet Tracker Mk II,2,2.0,100i -> F7C-R Hornet Tracker Mk II
100i,F7C-S Hornet Ghost,2,2.0,100i -> F7C-S Hornet Ghost
100i,F7C-S Hornet Ghost Mk II,2,2.0,100i -> F7C-S Hornet Ghost Mk II
100i,F8C Lightning,2,2.0,100i -> F8C Lightning
100i,Freelancer,2,2.5495097567963922,100i -> Freelancer
100i,Freelancer DUR,2,2.5495097567963922,100i -> Freelancer DUR
100i,Freelancer MAX,2,2.5495097567963922,100i -> Freelancer MAX
100i,Freelancer MIS,2,2.5495097567963922,100i -> Freelancer MIS
100i,Fury,2,2.0,100i -> Fury
100i,Fury LX,2,2.0,100i -> Fury LX
100i,Fury MX,2,2.0,100i -> Fury MX
100i,G12,2,2.449489742783178,100i -> G12
100i,G12a,2,2.449489742783178,100i -> G12a
100i,G12r,2,2.449489742783178,100i -> G12r
100i,Galaxy,2,2.581988897471611,100i -> Galaxy
100i,Genesis,2,2.7838821814150108,100i -> Genesis
100i,Gladiator,2,2.449489742783178,100i -> Gladiator
100i,Gladius,2,2.0,100i -> Gladius
100i,Glaive,2,2.0,100i -> Glaive
100i,Guardian,2,2.0,100i -> Guardian
100i,Guardian QI,2,2.0,100i -> Guardian QI
100i,Hammerhead,2,2.6034165586355513,100i -> Hammerhead
100i,Hawk,2,2.0,100i -> Hawk
100i,Herald,2,2.0,100i -> Herald
100i,HoverQuad,2,2.0,100i -> HoverQuad
100i,Hull A,2,2.0,100i -> Hull A
100i,Hull B,2,2.23606797749979,100i -> Hull B
100i,Hull C,2,2.5495097567963922,100i -> Hull C
100i,Hull D,2,2.756809750418044,100i -> Hull D
100i,Hull E,2,2.756809750418044,100i -> Hull E
100i,Hurricane,2,2.449489742783178,100i -> Hurricane
100i,Idris-M,2,2.815771906346718,100i -> Idris-M
100i,Idris-P,2,2.815771906346718,100i -> Idris-P
100i,Intrepid,2,2.0,100i -> Intrepid
100i,Ironclad,2,2.7688746209726918,100i -> Ironclad
100i,Ironclad Assault,2,2.7688746209726918,100i -> Ironclad Assault
100i,Javelin,2,2.8240042492885875,100i -> Javelin
100i,Khartu-Al,2,2.0,100i -> Khartu-Al
100i,Kraken,2,2.792848008753788,100i -> Kraken
100i,Kraken Privateer,2,2.792848008753788,100i -> Kraken Privateer
100i,Legionnaire,2,2.6457513110645907,100i -> Legionnaire
100i,Liberator,2,2.6457513110645907,100i -> Liberator
100i,Lynx,2,2.449489742783178,100i -> Lynx
100i,M2 Hercules,2,2.516611478423583,100i -> M2 Hercules
100i,M50,2,1.7320508075688772,100i -> M50
100i,Mantis,2,2.0,100i -> Mantis
100i,Merchantman,2,2.7838821814150108,100i -> Merchantman
100i,Mercury,2,2.309401076758503,100i -> Mercury
100i,MOLE,2,2.5495097567963922,100i -> MOLE
100i,MPUV Cargo,2,2.0,100i -> MPUV Cargo
100i,MPUV Personnel,2,2.0,100i -> MPUV Personnel
100i,MPUV Tractor,2,2.0,100i -> MPUV Tractor
100i,Mule,2,2.0,100i -> Mule
100i,Mustang Alpha,2,1.7320508075688772,100i -> Mustang Alpha
100i,Mustang Beta,2,2.0,100i -> Mustang Beta
100i,Mustang Delta,2,2.0,100i -> Mustang Delta
100i,Mustang Gamma,2,2.0,100i -> Mustang Gamma
100i,Mustang Omega,2,2.0,100i -> Mustang Omega
100i,Nautilus,2,2.7838821814150108,100i -> Nautilus
100i,Nomad,2,1.4142135623730951,100i -> Nomad
100i,Nova,2,2.516611478423583,100i -> Nova
100i,Nox,2,2.0,100i -> Nox
100i,Odyssey,2,2.23606797749979,100i -> Odyssey
100i,Orion,2,2.7774602993176543,100i -> Orion
100i,P-52 Merlin,2,2.0,100i -> P-52 Merlin
100i,P-72 Archimedes,2,2.0,100i -> P-72 Archimedes
100i,Paladin,2,2.7386127875258306,100i -> Paladin
100i,Perseus,2,2.7688746209726918,100i -> Perseus
100i,Pioneer,2,2.598076211353316,100i -> Pioneer
100i,Polaris,2,2.614064523559687,100i -> Polaris
100i,Prospector,2,2.0,100i -> Prospector
100i,Prowler,2,2.23606797749979,100i -> Prowler
100i,PTV,2,2.449489742783178,100i -> PTV
100i,Pulse,2,2.0,100i -> Pulse
100i,Pulse LX,2,2.0,100i -> Pulse LX
100i,RAFT,2,2.449489742783178,100i -> RAFT
100i,Railen,2,2.7386127875258306,100i -> Railen
100i,Ranger CV,2,2.23606797749979,100i -> Ranger CV
100i,Ranger RC,2,2.23606797749979,100i -> Ranger RC
100i,Ranger TR,2,2.23606797749979,100i -> Ranger TR
100i,Razor,2,2.0,100i -> Razor
100i,Razor EX,2,2.0,100i -> Razor EX
100i,Razor LX,2,2.0,100i -> Razor LX
100i,Reclaimer,2,2.569046515733026,100i -> Reclaimer
100i,Redeemer,2,2.5495097567963922,100i -> Redeemer
100i,Reliant Kore,2,2.23606797749979,100i -> Reliant Kore
100i,Reliant Mako,2,2.449489742783178,100i -> Reliant Mako
100i,Reliant Sen,2,2.449489742783178,100i -> Reliant Sen
100i,Reliant Tana,2,2.449489742783178,100i -> Reliant Tana
100i,Retaliator,2,2.591193878173865,100i -> Retaliator
100i,ROC,2,1.7320508075688772,100i -> ROC
100i,ROC-DS,2,2.449489742783178,100i -> ROC-DS
100i,Sabre,2,2.0,100i -> Sabre
100i,Sabre Firebird,2,2.0,100i -> Sabre Firebird
100i,Sabre Peregrine,2,2.0,100i -> Sabre Peregrine
100i,Sabre Raven,2,2.0,100i -> Sabre Raven
100i,San'tok.yāi,2,2.0,100i -> San'tok.yāi
100i,Scorpius,2,2.449489742783178,100i -> Scorpius
100i,Scorpius Antares,2,2.449489742783178,100i -> Scorpius Antares
100i,Scythe,2,2.0,100i -> Scythe
100i,Spartan,2,2.0,100i -> Spartan
100i,SRV,2,2.0,100i -> SRV
100i,Starfarer,2,2.591193878173865,100i -> Starfarer
100i,Starfarer Gemini,2,2.581988897471611,100i -> Starfarer Gemini
100i,Starlancer MAX,2,2.5495097567963922,100i -> Starlancer MAX
100i,Starlancer TAC,2,2.7688746209726918,100i -> Starlancer TAC
100i,Storm,2,2.0,100i -> Storm
100i,Storm AA,2,2.0,100i -> Storm AA
100i,STV,2,2.449489742783178,100i -> STV
100i,Talon,2,2.0,100i -> Talon
100i,Ursa,2,2.516611478423583,100i -> Ursa
100i,Talon Shrike,2,1.7320508075688772,100i -> Talon Shrike
100i,Terrapin,2,2.0,100i -> Terrapin
100i,Terrapin Medic,2,2.0,100i -> Terrapin Medic
100i,Ursa,2,2.516611478423583,100i -> Ursa
100i,Ursa Medivac,2,2.516611478423583,100i -> Ursa Medivac
100i,Valkyrie,2,2.569046515733026,100i -> Valkyrie
100i,Vanguard Harbinger,2,2.449489742783178,100i -> Vanguard Harbinger
100i,Vanguard Hoplite,2,2.449489742783178,100i -> Vanguard Hoplite
100i,Vanguard Sentinel,2,2.449489742783178,100i -> Vanguard Sentinel
100i,Vanguard Warden,2,2.449489742783178,100i -> Vanguard Warden
100i,Vulcan,2,2.516611478423583,100i -> Vulcan
100i,Vulture,2,2.0,100i -> Vulture
100i,X1,2,1.7320508075688772,100i -> X1
100i,X1 Force,2,1.7320508075688772,100i -> X1 Force
100i,X1 Velocity,2,1.7320508075688772,100i -> X1 Velocity
100i,Zeus CL Mk II,2,2.516611478423583,100i -> Zeus CL Mk II
100i,Zeus ES Mk II,2,2.516611478423583,100i -> Zeus ES Mk II
