start_ship                , end_ship                  , total_distance    , path
100i                      , 125a                      , 1.0               , 100i                        -> 125a
100i                      , 135c                      , 1.0               , 100i                        -> 135c
100i                      , 300i                      , 1.0               , 100i                        -> 300i
100i                      , 315p                      , 2.0               , 100i                        -> 315p
100i                      , 325a                      , 2.0               , 100i                        -> 325a
100i                      , 350r                      , 2.0               , 100i                        -> 350r
100i                      , 400i                      , 3.333333333333333 , 100i                        -> 400i
100i                      , 600i Explorer             , 3.6               , 100i                        -> 600i Explorer
100i                      , 600i Touring              , 3.6               , 100i                        -> 600i Touring
100i                      , 85X                       , 3.0               , 100i                        -> 85X
100i                      , 890 Jump                  , 3.75              , 100i                        -> 890 Jump
100i                      , A1 Spirit                 , 4.5               , 100i                        -> A1 Spirit
100i                      , A2 Hercules               , 5.25              , 100i                        -> A2 Hercules
100i                      , Apollo Medivac            , 5.0               , 100i                        -> Apollo Medivac
100i                      , Apollo Triage             , 5.0               , 100i                        -> Apollo Triage
100i                      , Ares Star Fighter Inferno , 3.5               , 100i                        -> Ares Star Fighter Inferno
100i                      , Ares Star Fighter Ion     , 3.5               , 100i                        -> Ares Star Fighter Ion
100i                      , Arrastra                  , 5.6               , 100i                        -> Arrastra
100i                      , Arrow                     , 3.5               , 100i                        -> Arrow
100i                      , ATLS                      , 3.5               , 100i                        -> ATLS
100i                      , Aurora CL                 , 3.5               , 100i                        -> Aurora CL
100i                      , Aurora ES                 , 2.5               , 100i                        -> Aurora ES
100i                      , Aurora LN                 , 3.5               , 100i                        -> Aurora LN
100i                      , Aurora LX                 , 3.5               , 100i                        -> Aurora LX
100i                      , Aurora MR                 , 3.5               , 100i                        -> Aurora MR
100i                      , Avenger Stalker           , 3.5               , 100i                        -> Avenger Stalker
100i                      , Avenger Titan             , 3.5               , 100i                        -> Avenger Titan
100i                      , Avenger Warlock           , 3.5               , 100i                        -> Avenger Warlock
100i                      , Ballista                  , 4.5               , 100i                        -> Ballista
100i                      , Blade                     , 3.5               , 100i                        -> Blade
100i                      , Buccaneer                 , 3.5               , 100i                        -> Buccaneer
100i                      , C1 Spirit                 , 4.5               , 100i                        -> C1 Spirit
100i                      , C2 Hercules               , 4.5               , 100i                        -> C2 Hercules
100i                      , C8 Pisces                 , 4.833333333333333 , 100i                        -> C8 Pisces
100i                      , C8R Pisces                , 4.5               , 100i                        -> C8R Pisces
100i                      , C8X Pisces Expedition     , 4.833333333333333 , 100i                        -> C8X Pisces Expedition
100i                      , Carrack                   , 5.166666666666667 , 100i                        -> Carrack
100i                      , Caterpillar               , 5.0               , 100i                        -> Caterpillar
100i                      , Centurion                 , 4.5               , 100i                        -> Centurion
100i                      , Constellation Andromeda   , 4.0               , 100i                        -> Constellation Andromeda
100i                      , Constellation Aquila      , 5.0               , 100i                        -> Constellation Aquila
100i                      , Constellation Phoenix     , 5.0               , 100i                        -> Constellation Phoenix
100i                      , Constellation Taurus      , 5.0               , 100i                        -> Constellation Taurus
100i                      , Corsair                   , 5.0               , 100i                        -> Corsair
100i                      , Crucible                  , 5.75              , 100i                        -> Crucible
100i                      , CSV-SM                    , 3.5               , 100i                        -> CSV-SM
100i                      , Cutlass Black             , 3.833333333333333 , 100i                        -> Cutlass Black
100i                      , Cutlass Blue              , 4.833333333333333 , 100i                        -> Cutlass Blue
100i                      , Cutlass Red               , 4.5               , 100i                        -> Cutlass Red
100i                      , Cutlass Steel             , 4.833333333333333 , 100i                        -> Cutlass Steel
100i                      , Cutter                    , 3.5               , 100i                        -> Cutter
100i                      , Cutter Rambler            , 3.5               , 100i                        -> Cutter Rambler
100i                      , Cutter Scout              , 3.5               , 100i                        -> Cutter Scout
100i                      , Cyclone                   , 4.5               , 100i                        -> Cyclone
100i                      , Cyclone AA                , 4.5               , 100i                        -> Cyclone AA
100i                      , Cyclone MT                , 4.833333333333333 , 100i                        -> Cyclone MT
100i                      , Cyclone RC                , 4.5               , 100i                        -> Cyclone RC
100i                      , Cyclone RN                , 4.5               , 100i                        -> Cyclone RN
100i                      , Cyclone TR                , 4.833333333333333 , 100i                        -> Cyclone TR
100i                      , Defender                  , 4.5               , 100i                        -> Defender
100i                      , Dragonfly                 , 4.5               , 100i                        -> Dragonfly
100i                      , E1 Spirit                 , 5.0               , 100i                        -> E1 Spirit
100i                      , Eclipse                   , 3.5               , 100i                        -> Eclipse
100i                      , Endeavor                  , 5.6               , 100i                        -> Endeavor
100i                      , Expanse                   , 4.0               , 100i                        -> Expanse
100i                      , F7A Hornet Mk I           , 3.5               , 100i                        -> F7A Hornet Mk I
100i                      , F7A Hornet Mk II          , 4.0               , 100i                        -> F7A Hornet Mk II
100i                      , F7C Hornet Mk I           , 3.5               , 100i                        -> F7C Hornet Mk I
100i                      , F7C Hornet Mk II          , 3.5               , 100i                        -> F7C Hornet Mk II
100i                      , F7C-M Super Hornet        , 4.5               , 100i                        -> F7C-M Super Hornet
100i                      , F7C-R Hornet Tracker      , 3.5               , 100i                        -> F7C-R Hornet Tracker
100i                      , F7C-R Hornet Tracker Mk II, 3.5               , 100i                        -> F7C-R Hornet Tracker Mk II
100i                      , F7C-S Hornet Ghost        , 3.5               , 100i                        -> F7C-S Hornet Ghost
100i                      , F7C-S Hornet Ghost Mk II  , 3.5               , 100i                        -> F7C-S Hornet Ghost Mk II
100i                      , F8C Lightning             , 3.5               , 100i                        -> F8C Lightning
100i                      , Freelancer                , 5.0               , 100i                        -> Freelancer
100i                      , Freelancer DUR            , 5.0               , 100i                        -> Freelancer DUR
100i                      , Freelancer MAX            , 5.0               , 100i                        -> Freelancer MAX
100i                      , Freelancer MIS            , 5.0               , 100i                        -> Freelancer MIS
100i                      , Fury                      , 3.5               , 100i                        -> Fury
100i                      , Fury LX                   , 3.5               , 100i                        -> Fury LX
100i                      , Fury MX                   , 3.5               , 100i                        -> Fury MX
100i                      , G12                       , 3.5               , 100i                        -> G12
100i                      , G12a                      , 3.5               , 100i                        -> G12a
100i                      , G12r                      , 3.5               , 100i                        -> G12r
100i                      , Galaxy                    , 4.666666666666667 , 100i                        -> Galaxy
100i                      , Genesis                   , 5.75              , 100i                        -> Genesis
100i                      , Gladiator                 , 4.5               , 100i                        -> Gladiator
100i                      , Gladius                   , 3.5               , 100i                        -> Gladius
100i                      , Glaive                    , 3.5               , 100i                        -> Glaive
100i                      , Guardian                  , 3.5               , 100i                        -> Guardian
100i                      , Guardian QI               , 3.5               , 100i                        -> Guardian QI
100i                      , Hammerhead                , 5.277777777777778 , 100i                        -> Hammerhead
100i                      , Hawk                      , 3.5               , 100i                        -> Hawk
100i                      , Herald                    , 3.5               , 100i                        -> Herald
100i                      , HoverQuad                 , 3.5               , 100i                        -> HoverQuad
100i                      , Hull A                    , 3.5               , 100i                        -> Hull A
100i                      , Hull B                    , 4.0               , 100i                        -> Hull B
100i                      , Hull C                    , 5.0               , 100i                        -> Hull C
100i                      , Hull D                    , 5.6               , 100i                        -> Hull D
