vaisseau_depart,vaisseau_arrivee,poids
100i                      ,125a                      ,1
100i                      ,135c                      ,1
100i                      ,300i                      ,1
100i                      ,315p                      ,2
100i                      ,325a                      ,2
100i                      ,350r                      ,2
100i                      ,400i                      ,2
100i                      ,600i Explorer             ,2
100i                      ,600i Touring              ,2
100i                      ,85X                       ,2
100i                      ,890 Jump                  ,2
100i                      ,A1 Spirit                 ,3
100i                      ,A2 Hercules               ,3
100i                      ,Apollo Medivac            ,4
100i                      ,Apollo Triage             ,4
100i                      ,Ares Star Fighter Inferno ,3
100i                      ,Ares Star Fighter Ion     ,3
100i                      ,Arrastra                  ,4
100i                      ,Arrow                     ,3
100i                      ,ATLS                      ,3
100i                      ,Aurora CL                 ,3
100i                      ,Aurora ES                 ,2
100i                      ,Aurora LN                 ,3
100i                      ,Aurora LX                 ,3
100i                      ,Aurora MR                 ,3
100i                      ,Avenger Stalker           ,3
100i                      ,Avenger Titan             ,3
100i                      ,Avenger Warlock           ,3
100i                      ,Ballista                  ,3
100i                      ,Blade                     ,3
100i                      ,Buccaneer                 ,3
100i                      ,C1 Spirit                 ,3
100i                      ,C2 Hercules               ,3
100i                      ,C8 Pisces                 ,3
100i                      ,C8R Pisces                ,3
100i                      ,C8X Pisces Expedition     ,3
100i                      ,Carrack                   ,3
100i                      ,Caterpillar               ,3
100i                      ,Centurion                 ,3
100i                      ,Constellation Andromeda   ,2
100i                      ,Constellation Aquila      ,3
100i                      ,Constellation Phoenix     ,3
100i                      ,Constellation Taurus      ,3
100i                      ,Corsair                   ,3
100i                      ,Crucible                  ,4
100i                      ,CSV-SM                    ,3
100i                      ,Cutlass Black             ,2
100i                      ,Cutlass Blue              ,3
100i                      ,Cutlass Red               ,3
100i                      ,Cutlass Steel             ,3
100i                      ,Cutter                    ,3
100i                      ,Cutter Rambler            ,3
100i                      ,Cutter Scout              ,3
100i                      ,Cyclone                   ,3
100i                      ,Cyclone AA                ,3
100i                      ,Cyclone MT                ,3
100i                      ,Cyclone RC                ,3
100i                      ,Cyclone RN                ,3
100i                      ,Cyclone TR                ,3
100i                      ,Defender                  ,3
100i                      ,Dragonfly                 ,3
100i                      ,E1 Spirit                 ,4
100i                      ,Eclipse                   ,3
100i                      ,Endeavor                  ,4
100i                      ,Expanse                   ,4
100i                      ,F7A Hornet Mk I           ,3
100i                      ,F7A Hornet Mk II          ,4
100i                      ,F7C Hornet Mk I           ,3
100i                      ,F7C Hornet Mk II          ,3
100i                      ,F7C-M Super Hornet        ,3
100i                      ,F7C-R Hornet Tracker      ,3
100i                      ,F7C-R Hornet Tracker Mk II,3
100i                      ,F7C-S Hornet Ghost        ,3
100i                      ,F7C-S Hornet Ghost Mk II  ,3
100i                      ,F8C Lightning             ,3
100i                      ,Freelancer                ,3
100i                      ,Freelancer DUR            ,3
100i                      ,Freelancer MAX            ,3
100i                      ,Freelancer MIS            ,3
100i                      ,Fury                      ,3
100i                      ,Fury LX                   ,3
100i                      ,Fury MX                   ,3
100i                      ,G12                       ,3
100i                      ,G12a                      ,3
100i                      ,G12r                      ,3
100i                      ,Galaxy                    ,3
100i                      ,Genesis                   ,4
100i                      ,Gladiator                 ,3
100i                      ,Gladius                   ,3
100i                      ,Glaive                    ,3
100i                      ,Guardian                  ,3
100i                      ,Guardian QI               ,3
100i                      ,Hammerhead                ,3
100i                      ,Hawk                      ,3
100i                      ,Herald                    ,3
100i                      ,HoverQuad                 ,3
100i                      ,Hull A                    ,3
100i                      ,Hull B                    ,4
100i                      ,Hull C                    ,3
100i                      ,Hull D                    ,4
100i                      ,Hull E                    ,4
100i                      ,Hurricane                 ,3
100i                      ,Idris-M                   ,4
100i                      ,Idris-P                   ,4
100i                      ,Intrepid                  ,3
100i                      ,Ironclad                  ,4
100i                      ,Ironclad Assault          ,4
100i                      ,Javelin                   ,4
100i                      ,Khartu-Al                 ,3
100i                      ,Kraken                    ,4
100i                      ,Kraken Privateer          ,4
100i                      ,Legionnaire               ,4
100i                      ,Liberator                 ,4
100i                      ,Lynx                      ,3
100i                      ,M2 Hercules               ,3
100i                      ,M50                       ,2
100i                      ,Mantis                    ,3
100i                      ,Merchantman               ,4
100i                      ,Mercury                   ,3
100i                      ,MOLE                      ,3
100i                      ,MPUV Cargo                ,3
100i                      ,MPUV Personnel            ,3
100i                      ,MPUV Tractor              ,3
100i                      ,Mule                      ,3
100i                      ,Mustang Alpha             ,2
100i                      ,Mustang Beta              ,3
100i                      ,Mustang Delta             ,3
100i                      ,Mustang Gamma             ,3
100i                      ,Mustang Omega             ,3
100i                      ,Nautilus                  ,4
100i                      ,Nomad                     ,2
100i                      ,Nova                      ,3
100i                      ,Nox                       ,3
100i                      ,Odyssey                   ,4
100i                      ,Orion                     ,4
100i                      ,P-52 Merlin               ,3
100i                      ,P-72 Archimedes           ,3
100i                      ,Paladin                   ,4
100i                      ,Perseus                   ,4
100i                      ,Pioneer                   ,3
100i                      ,Polaris                   ,3
100i                      ,Prospector                ,3
100i                      ,Prowler                   ,3
100i                      ,PTV                       ,3
100i                      ,Pulse                     ,3
100i                      ,Pulse LX                  ,3
100i                      ,RAFT                      ,3
100i                      ,Railen                    ,4
100i                      ,Ranger CV                 ,4
100i                      ,Ranger RC                 ,4
100i                      ,Ranger TR                 ,4
100i                      ,Razor                     ,3
100i                      ,Razor EX                  ,3
100i                      ,Razor LX                  ,3
100i                      ,Reclaimer                 ,3
100i                      ,Redeemer                  ,3
100i                      ,Reliant Kore              ,2
100i                      ,Reliant Mako              ,3
100i                      ,Reliant Sen               ,3
100i                      ,Reliant Tana              ,3
100i                      ,Retaliator                ,3
100i                      ,ROC                       ,3
100i                      ,ROC-DS                    ,3
100i                      ,Sabre                     ,3
100i                      ,Sabre Firebird            ,3
100i                      ,Sabre Peregrine           ,3
100i                      ,Sabre Raven               ,3
100i                      ,San'tok.yāi               ,3
100i                      ,Scorpius                  ,3
100i                      ,Scorpius Antares          ,3
100i                      ,Scythe                    ,3
100i                      ,Spartan                   ,3
100i                      ,SRV                       ,3
100i                      ,Starfarer                 ,3
100i                      ,Starfarer Gemini          ,3
100i                      ,Starlancer MAX            ,3
100i                      ,Starlancer TAC            ,4
100i                      ,Storm                     ,3
100i                      ,Storm AA                  ,3
100i                      ,STV                       ,3
100i                      ,Talon                     ,3
100i                      ,Ursa                      ,3
100i                      ,Talon Shrike              ,3
100i                      ,Terrapin                  ,3
100i                      ,Terrapin Medic            ,3
100i                      ,Ursa                      ,3
100i                      ,Ursa Medivac              ,3
100i                      ,Valkyrie                  ,3
100i                      ,Vanguard Harbinger        ,3
100i                      ,Vanguard Hoplite          ,3
100i                      ,Vanguard Sentinel         ,3
100i                      ,Vanguard Warden           ,3
100i                      ,Vulcan                    ,3
100i                      ,Vulture                   ,3
100i                      ,X1                        ,2
100i                      ,X1 Force                  ,2
100i                      ,X1 Velocity               ,2
100i                      ,Zeus CL Mk II             ,3
100i                      ,Zeus ES Mk II             ,3
100i                      ,Zeus MR Mk II             ,4
125a                      ,100i                      ,1
125a                      ,135c                      ,1
125a                      ,300i                      ,1
125a                      ,315p                      ,2
125a                      ,325a                      ,2
125a                      ,350r                      ,2
125a                      ,400i                      ,2
125a                      ,600i Explorer             ,2
125a                      ,600i Touring              ,2
125a                      ,85X                       ,2
125a                      ,890 Jump                  ,2
125a                      ,A1 Spirit                 ,3
125a                      ,A2 Hercules               ,3
125a                      ,Apollo Medivac            ,4
125a                      ,Apollo Triage             ,4
125a                      ,Ares Star Fighter Inferno ,3
125a                      ,Ares Star Fighter Ion     ,3
125a                      ,Arrastra                  ,4
125a                      ,Arrow                     ,3
125a                      ,ATLS                      ,3
125a                      ,Aurora CL                 ,3
125a                      ,Aurora ES                 ,2
125a                      ,Aurora LN                 ,3
125a                      ,Aurora LX                 ,3
125a                      ,Aurora MR                 ,3
125a                      ,Avenger Stalker           ,3
125a                      ,Avenger Titan             ,3
125a                      ,Avenger Warlock           ,3
125a                      ,Ballista                  ,3
125a                      ,Blade                     ,3
125a                      ,Buccaneer                 ,3
125a                      ,C1 Spirit                 ,3
125a                      ,C2 Hercules               ,3
125a                      ,C8 Pisces                 ,3
125a                      ,C8R Pisces                ,3
125a                      ,C8X Pisces Expedition     ,3
125a                      ,Carrack                   ,3
125a                      ,Caterpillar               ,3
125a                      ,Centurion                 ,3
