iteration,nb_attempts,ships_used,secret_ship,path
1,3,"['Vulture', 'Aurora LN', 'Aurora MR']",Aurora MR,Vulture -> Aurora LN -> Aurora MR
2,2,"['Prospector', 'Fury LX']",Fury LX,Prospector -> Fury LX
3,3,"['Fury MX', 'Mustang Gamma', 'Mustang Omega']",Mustang Omega,Fury MX -> Mustang Gamma -> Mustang Omega
4,2,"['Razor LX', 'F8C Lightning']",F8C Lightning,Razor LX -> F8C Lightning
5,2,"['Scythe', 'Sabre Peregrine']",Sabre Peregrine,Scythe -> Sabre Peregrine
6,2,"['Arrow', 'Mustang Gamma']",Mustang Gamma,Arrow -> Mustang Gamma
7,2,"['MPUV Cargo', 'Khartu-Al']",Khartu-Al,MPUV Cargo -> Khartu-Al
8,2,"['Aurora LX', 'F7C-S Hornet Ghost Mk II']",F7C-S Hornet Ghost Mk II,Aurora LX -> F7C-S Hornet Ghost Mk II
9,3,"['Guardian QI', 'Ursa', 'Ursa Medivac']",Ursa Medivac,Guardian QI -> Ursa -> Ursa Medivac
10,2,"['Pulse', 'Cyclone TR']",Cyclone TR,Pulse -> Cyclone TR
11,2,"['Aurora LN', 'Mercury']",Mercury,Aurora LN -> Mercury
12,2,"['Mustang Omega', '85X']",85X,Mustang Omega -> 85X
13,2,"['Genesis', 'Freelancer DUR']",Freelancer DUR,Genesis -> Freelancer DUR
14,2,"['Cutlass Black', 'HoverQuad']",HoverQuad,Cutlass Black -> HoverQuad
15,2,"['Ranger TR', 'SRV']",SRV,Ranger TR -> SRV
16,2,"['Reliant Sen', 'Pulse LX']",Pulse LX,Reliant Sen -> Pulse LX
17,2,"['Redeemer', '100i']",100i,Redeemer -> 100i
18,2,"['G12a', 'Vanguard Harbinger']",Vanguard Harbinger,G12a -> Vanguard Harbinger
19,2,"['Prospector', 'HoverQuad']",HoverQuad,Prospector -> HoverQuad
20,2,"['Vulture', 'Redeemer']",Redeemer,Vulture -> Redeemer
21,2,"['Crucible', 'Prowler']",Prowler,Crucible -> Prowler
22,2,"['Herald', 'MPUV Tractor']",MPUV Tractor,Herald -> MPUV Tractor
23,2,"['Zeus CL Mk II', 'Vulcan']",Vulcan,Zeus CL Mk II -> Vulcan
24,2,"['Pioneer', 'Arrastra']",Arrastra,Pioneer -> Arrastra
25,2,"[""San'tok.yāi"", 'Sabre Peregrine']",Sabre Peregrine,San'tok.yāi -> Sabre Peregrine
26,2,"['Nautilus', 'Ranger CV']",Ranger CV,Nautilus -> Ranger CV
27,2,"['Mustang Omega', 'Arrastra']",Arrastra,Mustang Omega -> Arrastra
28,3,"['F7C Hornet Mk II', 'Ursa', 'Ursa Medivac']",Ursa Medivac,F7C Hornet Mk II -> Ursa -> Ursa Medivac
29,2,"['Perseus', 'Constellation Andromeda']",Constellation Andromeda,Perseus -> Constellation Andromeda
30,2,"['Freelancer', 'Reclaimer']",Reclaimer,Freelancer -> Reclaimer
31,2,"['Cyclone AA', 'Mercury']",Mercury,Cyclone AA -> Mercury
32,2,"['Sabre Peregrine', 'G12r']",G12r,Sabre Peregrine -> G12r
33,2,"['Talon Shrike', 'Ursa']",Ursa,Talon Shrike -> Ursa
34,2,"['Vanguard Warden', 'Cyclone']",Cyclone,Vanguard Warden -> Cyclone
35,2,"['Apollo Medivac', ""San'tok.yāi""]",San'tok.yāi,Apollo Medivac -> San'tok.yāi
36,2,"['Buccaneer', '135c']",135c,Buccaneer -> 135c
37,2,"['Razor', 'Cutter']",Cutter,Razor -> Cutter
38,2,"['Kraken', 'F7C-S Hornet Ghost Mk II']",F7C-S Hornet Ghost Mk II,Kraken -> F7C-S Hornet Ghost Mk II
39,2,"['Javelin', 'Zeus CL Mk II']",Zeus CL Mk II,Javelin -> Zeus CL Mk II
40,2,"['Freelancer', 'F7A Hornet Mk I']",F7A Hornet Mk I,Freelancer -> F7A Hornet Mk I
41,2,"['Nomad', 'F7C-M Super Hornet']",F7C-M Super Hornet,Nomad -> F7C-M Super Hornet
42,2,"['X1 Velocity', 'Reliant Kore']",Reliant Kore,X1 Velocity -> Reliant Kore
43,2,"['Hurricane', 'G12']",G12,Hurricane -> G12
44,2,"['Ironclad', 'Centurion']",Centurion,Ironclad -> Centurion
45,2,"['Sabre', 'Freelancer']",Freelancer,Sabre -> Freelancer
46,2,"['Apollo Triage', 'Cyclone']",Cyclone,Apollo Triage -> Cyclone
47,2,"['Retaliator', 'Zeus CL Mk II']",Zeus CL Mk II,Retaliator -> Zeus CL Mk II
48,2,"['Talon', '315p']",315p,Talon -> 315p
49,3,"['Crucible', 'Avenger Stalker', 'Avenger Warlock']",Avenger Warlock,Crucible -> Avenger Stalker -> Avenger Warlock
50,2,"['Carrack', 'Constellation Taurus']",Constellation Taurus,Carrack -> Constellation Taurus
51,3,"['Hawk', 'Hull D', 'Hull E']",Hull E,Hawk -> Hull D -> Hull E
52,2,"['Khartu-Al', 'A1 Spirit']",A1 Spirit,Khartu-Al -> A1 Spirit
53,2,"['Cutlass Red', '600i Explorer']",600i Explorer,Cutlass Red -> 600i Explorer
54,2,"['Mantis', 'Nova']",Nova,Mantis -> Nova
55,2,"['MPUV Cargo', 'Pulse']",Pulse,MPUV Cargo -> Pulse
56,2,"['Paladin', 'Ranger RC']",Ranger RC,Paladin -> Ranger RC
57,2,"['Apollo Medivac', 'A1 Spirit']",A1 Spirit,Apollo Medivac -> A1 Spirit
58,2,"['Legionnaire', 'Starfarer']",Starfarer,Legionnaire -> Starfarer
59,2,"['Cutter Rambler', 'Valkyrie']",Valkyrie,Cutter Rambler -> Valkyrie
60,2,"['Odyssey', 'Perseus']",Perseus,Odyssey -> Perseus
61,2,"['E1 Spirit', 'Constellation Phoenix']",Constellation Phoenix,E1 Spirit -> Constellation Phoenix
62,2,"['Sabre Raven', 'Valkyrie']",Valkyrie,Sabre Raven -> Valkyrie
63,2,"['Zeus ES Mk II', 'X1 Velocity']",X1 Velocity,Zeus ES Mk II -> X1 Velocity
64,2,"['Corsair', 'Idris-M']",Idris-M,Corsair -> Idris-M
65,2,"['CSV-SM', 'Cyclone RC']",Cyclone RC,CSV-SM -> Cyclone RC
66,2,"['Intrepid', 'Redeemer']",Redeemer,Intrepid -> Redeemer
67,2,"['Reliant Kore', 'Freelancer']",Freelancer,Reliant Kore -> Freelancer
68,2,"['M2 Hercules', 'Genesis']",Genesis,M2 Hercules -> Genesis
69,2,"['Ironclad Assault', 'Vulture']",Vulture,Ironclad Assault -> Vulture
70,2,"['Legionnaire', 'Merchantman']",Merchantman,Legionnaire -> Merchantman
71,3,"['Freelancer MIS', 'Guardian', 'Guardian QI']",Guardian QI,Freelancer MIS -> Guardian -> Guardian QI
72,2,"['Mustang Beta', 'Scorpius']",Scorpius,Mustang Beta -> Scorpius
73,2,"['Liberator', 'ROC']",ROC,Liberator -> ROC
74,2,"['Dragonfly', 'X1 Force']",X1 Force,Dragonfly -> X1 Force
75,2,"['Freelancer MIS', 'HoverQuad']",HoverQuad,Freelancer MIS -> HoverQuad
76,2,"['85X', 'Fury']",Fury,85X -> Fury
77,2,"['Paladin', 'F7C-M Super Hornet']",F7C-M Super Hornet,Paladin -> F7C-M Super Hornet
78,2,"['Retaliator', 'Sabre Peregrine']",Sabre Peregrine,Retaliator -> Sabre Peregrine
79,2,"['Cutlass Red', 'F7C-S Hornet Ghost Mk II']",F7C-S Hornet Ghost Mk II,Cutlass Red -> F7C-S Hornet Ghost Mk II
80,2,"['Intrepid', 'Starfarer Gemini']",Starfarer Gemini,Intrepid -> Starfarer Gemini
81,2,"['Herald', 'Merchantman']",Merchantman,Herald -> Merchantman
82,2,"['Pioneer', 'Constellation Andromeda']",Constellation Andromeda,Pioneer -> Constellation Andromeda
83,2,"['125a', '350r']",350r,125a -> 350r
84,2,"['C8R Pisces', 'F7A Hornet Mk II']",F7A Hornet Mk II,C8R Pisces -> F7A Hornet Mk II
85,2,"['Reliant Sen', 'Ranger TR']",Ranger TR,Reliant Sen -> Ranger TR
86,2,"['A1 Spirit', 'Mercury']",Mercury,A1 Spirit -> Mercury
87,2,"['Vulture', 'MPUV Tractor']",MPUV Tractor,Vulture -> MPUV Tractor
88,2,"['Crucible', '85X']",85X,Crucible -> 85X
89,2,"['E1 Spirit', 'Expanse']",Expanse,E1 Spirit -> Expanse
90,2,"['Mustang Alpha', 'Constellation Andromeda']",Constellation Andromeda,Mustang Alpha -> Constellation Andromeda
91,2,"['Storm', 'Sabre Peregrine']",Sabre Peregrine,Storm -> Sabre Peregrine
92,2,"['F7A Hornet Mk II', 'Vanguard Sentinel']",Vanguard Sentinel,F7A Hornet Mk II -> Vanguard Sentinel
93,2,"['MPUV Personnel', 'Carrack']",Carrack,MPUV Personnel -> Carrack
94,3,"['E1 Spirit', 'Ursa', 'Ursa Medivac']",Ursa Medivac,E1 Spirit -> Ursa -> Ursa Medivac
95,2,"['Mustang Omega', 'Reliant Mako']",Reliant Mako,Mustang Omega -> Reliant Mako
96,2,"['Hull A', 'Spartan']",Spartan,Hull A -> Spartan
97,2,"['Prospector', 'Carrack']",Carrack,Prospector -> Carrack
98,2,"['F7A Hornet Mk II', 'Cutlass Steel']",Cutlass Steel,F7A Hornet Mk II -> Cutlass Steel
99,2,"['Nox', 'Hurricane']",Hurricane,Nox -> Hurricane
100,2,"['Starlancer MAX', 'Legionnaire']",Legionnaire,Starlancer MAX -> Legionnaire
101,2,"['Reclaimer', 'Odyssey']",Odyssey,Reclaimer -> Odyssey
102,2,"['M50', 'Freelancer MIS']",Freelancer MIS,M50 -> Freelancer MIS
103,2,"['Freelancer', 'Constellation Taurus']",Constellation Taurus,Freelancer -> Constellation Taurus
104,2,"['G12', 'Guardian']",Guardian,G12 -> Guardian
105,3,"['F7C Hornet Mk I', 'Aurora LN', 'Aurora MR']",Aurora MR,F7C Hornet Mk I -> Aurora LN -> Aurora MR
106,2,"['F7C-S Hornet Ghost Mk II', 'Odyssey']",Odyssey,F7C-S Hornet Ghost Mk II -> Odyssey
107,2,"['Aurora LX', 'Legionnaire']",Legionnaire,Aurora LX -> Legionnaire
108,2,"['300i', 'Scorpius Antares']",Scorpius Antares,300i -> Scorpius Antares
109,2,"['Defender', '315p']",315p,Defender -> 315p
110,2,"['Cyclone', 'Corsair']",Corsair,Cyclone -> Corsair
111,2,"['F7A Hornet Mk II', '890 Jump']",890 Jump,F7A Hornet Mk II -> 890 Jump
112,2,"['X1 Velocity', 'Talon Shrike']",Talon Shrike,X1 Velocity -> Talon Shrike
113,3,"['Mustang Omega', 'Ursa', 'Ursa Medivac']",Ursa Medivac,Mustang Omega -> Ursa -> Ursa Medivac
114,2,"['SRV', 'Nautilus']",Nautilus,SRV -> Nautilus
115,2,"['X1 Velocity', 'G12r']",G12r,X1 Velocity -> G12r
116,2,"['Terrapin', 'ATLS']",ATLS,Terrapin -> ATLS
117,2,"['Starlancer TAC', 'Ranger TR']",Ranger TR,Starlancer TAC -> Ranger TR
118,2,"['Reliant Sen', 'Guardian']",Guardian,Reliant Sen -> Guardian
119,2,"['Guardian QI', 'Eclipse']",Eclipse,Guardian QI -> Eclipse
120,2,"['Avenger Stalker', 'Freelancer MIS']",Freelancer MIS,Avenger Stalker -> Freelancer MIS
121,2,"['F7C-S Hornet Ghost', 'MPUV Tractor']",MPUV Tractor,F7C-S Hornet Ghost -> MPUV Tractor
122,2,"['Vulcan', 'Ursa']",Ursa,Vulcan -> Ursa
123,2,"['Expanse', 'E1 Spirit']",E1 Spirit,Expanse -> E1 Spirit
124,2,"['Hawk', 'MOLE']",MOLE,Hawk -> MOLE
125,2,"['Blade', 'A2 Hercules']",A2 Hercules,Blade -> A2 Hercules
126,2,"['Aurora LN', '400i']",400i,Aurora LN -> 400i
127,3,"['Ares Star Fighter Inferno', 'Storm', 'Storm AA']",Storm AA,Ares Star Fighter Inferno -> Storm -> Storm AA
128,2,"['C8X Pisces Expedition', 'P-72 Archimedes']",P-72 Archimedes,C8X Pisces Expedition -> P-72 Archimedes
129,2,"['Cyclone MT', 'Intrepid']",Intrepid,Cyclone MT -> Intrepid
