name                       ,cargo_capacity ,mass      ,crew ,manufacturer                              ,type        ,status       ,role                                           ,price  ,release_date ,price_ingame   ,scm    ,max    ,length ,beam   ,height
100i                       ,             2 ,    48143 ,   1 ,Origin Jumpworks                          ,multi       ,flight-ready ,"{'0': 'Starter', '1': 'Touring'}"             ,50.0   ,2020         ,1146600.0      , 260.0 ,1425.0 , 19.0  , 12.0  ,  5.0
125a                       ,             2 ,    48143 ,   1 ,Origin Jumpworks                          ,multi       ,flight-ready ,"{'0': 'Starter', '1': 'Light Fighter'}"       ,60.0   ,2020         ,1587600.0      , 260.0 ,1425.0 , 19.0  , 12.0  ,  5.0
135c                       ,             6 ,    48143 ,   1 ,Origin Jumpworks                          ,multi       ,flight-ready ,"{'0': 'Starter', '1': 'Light Freight'}"       ,65.0   ,2020         ,1490580.0      , 260.0 ,1425.0 , 19.0  , 12.0  ,  5.0
300i                       ,             8 ,    79677 ,   1 ,Origin Jumpworks                          ,multi       ,flight-ready ,"{'0': 'Touring', '1': 'Luxury'}"              ,60.0   ,2014         ,1375920.0      , 260.0 ,1425.0 , 27.0  , 17.0  ,  8.0
315p                       ,            12 ,    80592 ,   1 ,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Pathfinder'}                            ,65.0   ,2014         ,1490580.0      , 260.0 ,1425.0 , 27.0  , 17.0  ,  8.0
325a                       ,             4 ,    79324 ,   1 ,Origin Jumpworks                          ,combat      ,flight-ready ,"{'0': 'Light Fighter', '1': 'Interdiction'}"  ,70.0   ,2014         ,1852200.0      , 260.0 ,1425.0 , 27.5  , 17.0  ,  8.0
350r                       ,             4 ,    79677 ,   1 ,Origin Jumpworks                          ,competition ,flight-ready ,{'0': 'Racing'}                                ,125.0  ,2014         ,3748500.0      , 260.0 ,1425.0 , 27.0  , 17.0  ,  8.0
400i                       ,            42 ,   430057 ,   3 ,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Touring'}                               ,250.0  ,2021         ,11466000.0     , 200.0 ,1000.0 , 56.0  , 32.0  , 12.5
600i Explorer              ,            44 ,  1622067 ,   5 ,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Expedition'}                            ,475.0  ,2018         ,27231750.0     , 165.0 , 975.0 , 91.5  , 52.0  , 17.0
600i Touring               ,            20 ,  1613414 ,   5 ,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Touring'}                               ,435.0  ,2018         ,24938550.0     , 165.0 , 975.0 , 91.5  , 52.0  , 17.0
85X                        ,             0 ,    19834 ,   2 ,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Touring'}                               ,50.0   ,2016         ,573300.0       , 230.0 ,1250.0 , 13.5  , 14.0  ,  4.0
890 Jump                   ,           388 , 44237159 ,   8 ,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Luxury Touring'}                        ,950.0  ,2019         ,65356200.0     , 125.0 , 915.0 ,210.0  , 80.0  , 45.0
A1 Spirit                  ,             0 ,   314271 ,   2 ,Crusader Industries                       ,combat      ,flight-ready ,{'0': 'Bomber'}                                ,200.0  ,2023         ,4961250.0      , 204.0 ,1130.0 , 47.5  , 44.0  , 10.0
A2 Hercules                ,           216 ,  3139240 ,   8 ,Crusader Industries                       ,combat      ,flight-ready ,{'0': 'Heavy Bomber'}                          ,750.0  ,2021         ,44296876.0     , 160.0 , 950.0 , 70.0  , 94.0  , 23.0
Apollo Medivac             ,            28 ,   376500 ,   2 ,Roberts Space Industries                  ,support     ,in-concept   ,{'0': 'Medical'}                               ,275.0  ,Unreleased   ,               , 195.0 ,       , 43.0  , 30.0  , 10.0
Apollo Triage              ,            28 ,   376500 ,   2 ,Roberts Space Industries                  ,support     ,in-concept   ,{'0': 'Medical'}                               ,250.0  ,Unreleased   ,               , 205.0 ,       , 43.0  , 30.0  , 10.0
Ares Star Fighter Inferno  ,             0 ,   329001 ,   1 ,Crusader Industries                       ,combat      ,flight-ready ,{'0': 'Heavy Fighter'}                         ,250.0  ,2021         ,4725000.0      , 210.0 , 110.0 , 27.0  ,  30.0     , 6.0  
Ares Star Fighter Ion      ,             0 ,   329001 ,   1 ,Crusader Industries                       ,combat      ,flight-ready ,{'0': 'Heavy Fighter'}                         ,250.0  ,2021         ,4725000.0      , 210.0 ,1100.0 , 27.0  ,   30.0    ,  6.0
Arrastra                   ,           576 ,          ,   5 ,Roberts Space Industries                  ,industrial  ,in-concept   ,"{'0': 'Mining', '1': 'Refining'}"             ,575.0  ,Unreleased   ,               ,       ,       ,124.0  , 64.0  , 21.0
Arrow                      ,             0 ,    32310 ,   1 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Light Fighter'}                         ,75.0   ,2018         ,1984500.0      , 232.0 ,1210.0 , 17.25 , 12.25 ,  4.5
ATLS                       ,             0 ,     1440 ,   1 ,Argo Astronautics                         ,ground      ,flight-ready ,{'0': 'Industrial'}                            ,40.0   ,2024         ,2.0            ,   2.0 ,   2.0 ,  1.8  ,  2.0  ,  2.8
Aurora CL                  ,             6 ,    26422 ,   1 ,Roberts Space Industries                  ,transport   ,flight-ready ,{'0': 'Light Freight'}                         ,45.0   ,2014         ,1020600.0      , 225.0 ,1200.0 , 19.0  ,  8.75 ,  4.5
Aurora ES                  ,             3 ,    26486 ,   1 ,Roberts Space Industries                  ,multi       ,flight-ready ,"{'0': 'Starter', '1': 'Pathfinder'}"          ,20.0   ,2014         ,423360.0       , 225.0 ,1200.0 , 19.0  ,  8.75 ,  4.5
Aurora LN                  ,             3 ,    28714 ,   1 ,Roberts Space Industries                  ,transport   ,flight-ready ,{'0': 'Light Fighter'}                         ,40.0   ,2014         ,907200.0       , 225.0 ,1200.0 , 19.0  ,  8.75 ,  4.5
Aurora LX                  ,             3 ,    26736 ,   1 ,Roberts Space Industries                  ,exploration ,flight-ready ,{'0': 'Pathfinder'}                            ,35.0   ,2014         ,687960.0       , 225.0 ,1200.0 , 19.0  ,  8.75 ,  4.5
Aurora MR                  ,             3 ,    27893 ,   1 ,Roberts Space Industries                  ,transport   ,flight-ready ,{'0': 'Light Fighter'}                         ,30.0   ,2014         ,680400.0       , 225.0 ,1200.0 , 19.0  ,  8.75 ,  4.5
Avenger Stalker            ,             0 ,    50786 ,   1 ,Aegis Dynamics                            ,combat      ,flight-ready ,{'0': 'Interdiction'}                          ,60.0   ,2015         ,1587600.0      , 260.0 ,1425.0 , 20.0  , 15.0  ,  6.5
Avenger Titan              ,             8 ,    51363 ,   1 ,Aegis Dynamics                            ,transport   ,flight-ready ,{'0': 'Light Freight'}                         ,60.0   ,2014         ,1358280.0      , 260.0 ,1425.0 , 20.0  , 15.0  ,  6.5
Avenger Warlock            ,             0 ,    47232 ,   1 ,Aegis Dynamics                            ,combat      ,flight-ready ,{'0': 'Interdiction'}                          ,85.0   ,2015         ,2249100.0      , 260.0 ,1425.0 , 20.0  , 15.0  ,  6.5
Ballista                   ,             0 ,   121816 ,   2 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Military'}                              ,140.0  ,2019         ,1481760.0      ,  25.0 ,  25.0 , 17.0  ,  7.0  ,  5.5
Blade                      ,             0 ,    27019 ,   1 ,Esperia                                   ,combat      ,flight-ready ,{'0': 'Light Fighter'}                         ,275.0  ,2018         ,7796250.0      , 225.0 ,1200.0 , 20.5  , 16.5  ,  5.5
Buccaneer                  ,             0 ,    40527 ,   1 ,Drake Interplanetary                      ,combat      ,flight-ready ,{'0': 'Interdiction'}                          ,110.0  ,2017         ,1663200.0      , 240.0 ,1400.0 , 15.25 , 16.75 ,  5.5
C1 Spirit                  ,            64 ,   314271 ,   2 ,Crusader Industries                       ,transport   ,flight-ready ,{'0': 'Medium Freight'}                        ,125.0  ,2023         ,3118500.0      , 204.0 ,1130.0 , 47.5  , 44.0  , 10.0
C2 Hercules                ,           696 ,  3139240 ,   2 ,Crusader Industries                       ,transport   ,flight-ready ,{'0': 'Heavy Freight'}                         ,400.0  ,2021         ,18900000.0     , 160.0 , 950.0 , 70.0  , 94.0  , 23.0
C8 Pisces                  ,             4 ,    48143 ,   3 ,Anvil Aerospace                           ,exploration ,flight-ready ,{'0': 'Exploration'}                           ,0.0    ,2019         ,745290.0       , 220.0 ,1150.0 , 16.0  , 12.0  ,  8.0
C8R Pisces                 ,             0 ,    48143 ,   2 ,Anvil Aerospace                           ,support     ,flight-ready ,{'0': 'Medical'}                               ,65.0   ,2022         ,555660.0       , 220.0 ,1150.0 , 16.0  , 12.0  ,  8.0
C8X Pisces Expedition      ,             4 ,    48143 ,   3 ,Anvil Aerospace                           ,exploration ,flight-ready ,{'0': 'Expedition'}                            ,45.0   ,2019         ,515970.0       , 220.0 ,1150.0 , 16.0  , 12.0  ,  8.0
Carrack                    ,           456 ,  4397858 ,   6 ,Anvil Aerospace                           ,exploration ,flight-ready ,{'0': 'Expedition'}                            ,600.0  ,2019         ,34398000.0     , 140.0 ,1050.0 , 74.0  ,126.0  , 30.0
Caterpillar                ,           576 ,  1660063 ,   4 ,Drake Interplanetary                      ,transport   ,flight-ready ,{'0': 'Heavy Freight'}                         ,330.0  ,2016         ,12474000.0     , 130.0 , 900.0 , 13.4  , 39.5  ,111.5
