name                       ,cargo_capacity ,mass      ,crew ,manufacturer                              ,type        ,status       ,role                                           ,price  ,release_date ,price_ingame   ,scm    ,max    ,length ,beam   ,height
100i                       ,-0.10646727175989329,-0.20407222902179945,-0.33455167457913093,Origin Jumpworks                          ,multi       ,flight-ready ,"{'0': 'Starter', '1': 'Touring'}             ",-0.562684568975511,2020         ,-0.4694789226325358,0.4259476031021413,1.1047977936322764,-0.45831996832884647,-0.5874126347201027,-0.4724485019934336
125a                       ,-0.10646727175989329,-0.20407222902179945,-0.33455167457913093,Origin Jumpworks                          ,multi       ,flight-ready ,"{'0': 'Starter', '1': 'Light Fighter'}       ",-0.5327204417098923,2020         ,-0.4225825873817195,0.4259476031021413,1.1047977936322764,-0.45831996832884647,-0.5874126347201027,-0.4724485019934336
135c                       ,-0.10590192520980807,-0.20407222902179945,-0.33455167457913093,Origin Jumpworks                          ,multi       ,flight-ready ,"{'0': 'Starter', '1': 'Light Freight'}       ",-0.517738378077083,2020         ,-0.4328997811368991,0.4259476031021413,1.1047977936322764,-0.45831996832884647,-0.5874126347201027,-0.4724485019934336
300i                       ,-0.10561925193476546,-0.20091912331497933,-0.33455167457913093,Origin Jumpworks                          ,multi       ,flight-ready ,"{'0': 'Touring', '1': 'Luxury'}              ",-0.5327204417098923,2014         ,-0.44509282830211133,0.4259476031021413,1.1047977936322764,-0.32178658909905333,-0.4118068717504636,-0.28683900626933934
315p                       ,-0.10505390538468022,-0.2008276318542785,-0.33455167457913093,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Pathfinder'}                            ,-0.517738378077083,2014         ,-0.4328997811368991,0.4259476031021413,1.1047977936322764,-0.32178658909905333,-0.4118068717504636,-0.28683900626933934
325a                       ,-0.10618459848485068,-0.20095442002058303,-0.33455167457913093,Origin Jumpworks                          ,combat      ,flight-ready ,"{'0': 'Light Fighter', '1': 'Interdiction'}  ",-0.5027563144442736,2014         ,-0.3944447862312297,0.4259476031021413,1.1047977936322764,-0.31325325289719125,-0.4118068717504636,-0.28683900626933934
350r                       ,-0.10618459848485068,-0.20091912331497933,-0.33455167457913093,Origin Jumpworks                          ,competition ,flight-ready ,{'0': 'Racing'}                                ,-0.3379536144833709,2014         ,-0.19279054465271947,0.4259476031021413,1.1047977936322764,-0.32178658909905333,-0.4118068717504636,-0.28683900626933934
400i                       ,-0.10081380625904103,-0.16588439325993912,-0.020323232567891144,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Touring'}                               ,0.03659797633686264,2021         ,0.6278953222365664,0.044751527579617804,0.10057765233416831,0.1731469106089467,0.11501041715845371,-0.008424762683198021
600i Explorer              ,-0.10053113298399842,-0.04669451777358575,0.29390520944334864,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Expedition'}                            ,0.710790839813283,2018         ,2.3044393074532503,-0.17761284980852088,0.041505879316632535,0.7790137809411537,0.8174334690370101,0.2699894809029433
600i Touring               ,-0.10392321228450978,-0.04755973701888018,0.29390520944334864,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Touring'}                               ,0.5909343307508083,2018         ,2.0605783641490056,-0.17761284980852088,0.041505879316632535,0.7790137809411537,0.8174334690370101,0.2699894809029433
85X                        ,-0.1067499450349359,-0.2069028648261494,-0.17743745357351104,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Touring'}                               ,-0.562684568975511,2016         ,-0.530444158458597,0.23534956534087956,0.6912953825095259,-0.5521866665493292,-0.5171703295322471,-0.534318333901465
890 Jump                   ,-0.05191132967666895,4.214416974008777,0.7652478724602082,Origin Jumpworks                          ,exploration ,flight-ready ,{'0': 'Luxury Touring'}                        ,2.1340868849301704,2019         ,6.358627489886322,-0.43174356682353654,-0.1002663759254533,2.8014144607824645,1.800825741666989,2.0023447743278227
A1 Spirit                  ,-0.1067499450349359,-0.17746191267929207,-0.17743745357351104,Crusader Industries                       ,combat      ,flight-ready ,{'0': 'Bomber'}                                ,-0.11322265999123077,2023         ,-0.06382562271297457,0.07016459928111937,0.40775087202535426,0.028080195177291527,0.5364642482855876,-0.16309934245327654
