,uuid,name,slug,class_name,sizes,emission,mass,cargo_capacity,vehicle_inventory,personal_inventory,crew,health,shield_hp,speed,fuel,quantum,agility,armor,foci,type,description,size_class,manufacturer,insurance,parts,updated_at,version,id,chassis_id,production_status,production_note,size,msrp,pledge_url,loaner,skus
100i,6135a874-4cb1-4f49-9f29-5781e5991f2b,100i,100i,ORIG_100i,"{'length': 19, 'beam': 12, 'height': 5}","{'ir': 7472, 'em_idle': 6263, 'em_max': 20675}",0,2,0.93,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,1500,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 30, 'usage': {'main': 75, 'maneuvering': 30, 'retro': 16, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 50, 'yaw': 50, 'roll': 195, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.48, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}","['Starter', 'Touring']",multi,"Tour the universe with the perfect coupling of luxury and performance. The 100i features Origin Jumpworks' patented AIR fuel system, making it the most efficient and eco-friendly ship on the market. Capable of long distance flights that most ships of its size aren't equipped for, the 100i is perfect for solo pilots looking to turn heads without sacrificing functionality or reliability.",1,"{'name': 'Origin Jumpworks', 'code': 'ORIG'}","{'claim_time': 3.359, 'expedite_time': 1.12, 'expedite_cost': 1858}",[],2025-02-21T06:56:31.000000Z,4.1.0-LIVE.9650658,159,63,flight-ready,None,small,50,https://robertsspaceindustries.com/pledge/ships/origin-100/100i,[],"[{'title': '100i Holiday Upgrade', 'price': 50, 'available': 1, 'imported_at': '2024-01-07T12:54:04.000000Z'}, {'title': 'Standard Edition', 'price': 50, 'available': 1, 'imported_at': '2024-01-07T12:54:04.000000Z'}]"
125a,e7eeba8d-b108-48a1-a332-d9edbab2b9c1,125a,125a,ORIG_125a,"{'length': 19, 'beam': 12, 'height': 5}","{'ir': 7537, 'em_idle': 6313, 'em_max': 21928}",0,2,0.93,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,1730,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 30, 'usage': {'main': 75, 'maneuvering': 30, 'retro': 16, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 70, 'yaw': 52, 'roll': 200, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.48, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}","['Starter', 'Light Fighter']",multi,"Risks were meant to be taken, but why risk running out of fuel in the heat of battle? With the AIR fuel system, a souped-up weapons package, and all the luxury and refinement you've come to expect from Origin Jumpworks, the 125a has been designed for the discerning maverick.",1,"{'name': 'Origin Jumpworks', 'code': 'ORIG'}","{'claim_time': 4.539, 'expedite_time': 1.509, 'expedite_cost': 2526}",[],2025-02-21T06:56:32.000000Z,4.1.0-LIVE.9650658,160,63,flight-ready,None,small,60,https://robertsspaceindustries.com/pledge/ships/origin-100/125a,[],"[{'title': 'Standard Edition', 'price': 60, 'available': 1, 'imported_at': '2024-01-07T12:54:04.000000Z'}]"
135c,2f231daa-95e5-4cb2-a32e-4db8f29a30d6,135c,135c,ORIG_135c,"{'length': 19, 'beam': 12, 'height': 5}","{'ir': 7340, 'em_idle': 6263, 'em_max': 22006}",0,6,0.93,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,1850,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 30, 'usage': {'main': 75, 'maneuvering': 30, 'retro': 16, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 53, 'yaw': 53, 'roll': 212, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.48, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}","['Starter', 'Light Freight']",multi,"With a deceptive amount of storage space in its sleek, stylish frame, and Origin's patented AIR fuel system, the 135c model is the obvious choice for musicians, couriers, and anyone trying to get the party started. Get it there fast, and look good while you're doing it.",1,"{'name': 'Origin Jumpworks', 'code': 'ORIG'}","{'claim_time': 3.779, 'expedite_time': 1.259, 'expedite_cost': 1830}",[],2025-02-21T06:56:32.000000Z,4.1.0-LIVE.9650658,161,63,flight-ready,None,small,65,https://robertsspaceindustries.com/pledge/ships/origin-100/135c,[],"[{'title': 'Standard Edition', 'price': 65, 'available': 1, 'imported_at': '2024-01-07T12:54:04.000000Z'}]"
300i,ce937681-caa2-4cfa-ab80-f5bf2a5b9a6c,300i,300i,ORIG_300i,"{'length': 27, 'beam': 17, 'height': 8}","{'ir': 6920, 'em_idle': 5988, 'em_max': 20379}",0,8,1.01,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,3000,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 12, 'usage': {'main': 71, 'maneuvering': 49, 'retro': 36, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 52, 'yaw': 48, 'roll': 180, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.48, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}","['Touring', 'Luxury']",multi,"If you're going to travel the stars... why not do it in style? The 300i is Origin Jumpworks' premiere luxury spacecraft. It is a sleek, silver killer that sends as much of a message with its silhouette as it does with its weaponry.",2,"{'name': 'Origin Jumpworks', 'code': 'ORIG'}","{'claim_time': 7.76, 'expedite_time': 2.589, 'expedite_cost': 3618}",[],2025-02-21T06:56:33.000000Z,4.1.0-LIVE.9650658,7,2,flight-ready,Rework complete (3.5.0),small,60,https://robertsspaceindustries.com/pledge/ships/origin-300/300i,[],"[{'title': 'Standard Edition', 'price': 60, 'available': 1, 'imported_at': '2024-01-07T12:54:02.000000Z'}, {'title': 'Warbond Edition', 'price': 55, 'available': 1, 'imported_at': '2024-01-07T12:54:02.000000Z'}]"
315p,dc537d66-2abb-43aa-9d37-4e963fc6e9e2,315p,315p,ORIG_315p,"{'length': 27, 'beam': 17, 'height': 8}","{'ir': 7213, 'em_idle': 5954, 'em_max': 20208}",0,12,0.93,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,2560,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 12, 'usage': {'main': 71, 'maneuvering': 49, 'retro': 36, 'vtol': 0}}","{'quantum_speed': 215000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 52, 'yaw': 48, 'roll': 180, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.48, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Pathfinder'],exploration,"Exploration is man's highest calling. Prepare to chart distant horizons with man's most sophisticated piece of technology, the ORIGIN 315p. Featuring a more robust power plant and a custom scanning package, exclusively designed by Chimera Communications.",2,"{'name': 'Origin Jumpworks', 'code': 'ORIG'}","{'claim_time': 5.179, 'expedite_time': 1.73, 'expedite_cost': 2579}",[],2025-02-21T06:56:47.000000Z,4.1.0-LIVE.9650658,8,2,flight-ready,None,small,65,https://robertsspaceindustries.com/pledge/ships/origin-300/315p,[],"[{'title': 'Standard Edition', 'price': 65, 'available': 1, 'imported_at': '2024-01-07T12:54:02.000000Z'}]"
325a,039a2768-1aff-4969-b2a4-ed8aeb21dae1,325a,325a,ORIG_325a,"{'length': 27.5, 'beam': 17, 'height': 8}","{'ir': 7455, 'em_idle': 6074, 'em_max': 21901}",0,4,0.71,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,3460,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 71, 'maneuvering': 49, 'retro': 36, 'vtol': 0}}","{'quantum_speed': 190000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 52, 'yaw': 48, 'roll': 180, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.48, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}","['Light Fighter', 'Interdiction']",combat,Just because it's a rough galaxy doesn't mean you need to sacrifice your comfort: the 325a can come out on top in any dogfight. The 325a features an advanced weapon payload as well as a custom targeting system designed especially for the 325a by WillsOp.,2,"{'name': 'Origin Jumpworks', 'code': 'ORIG'}","{'claim_time': 6.21, 'expedite_time': 2.069, 'expedite_cost': 3900}",[],2025-02-21T06:56:47.000000Z,4.1.0-LIVE.9650658,9,2,flight-ready,None,small,70,https://robertsspaceindustries.com/pledge/ships/origin-300/325a,[],"[{'title': 'Standard Edition', 'price': 70, 'available': 1, 'imported_at': '2024-01-07T12:54:02.000000Z'}]"
350r,316c6601-b405-4a3a-abac-394c655718f8,350r,350r,ORIG_350r,"{'length': 27, 'beam': 17, 'height': 8}","{'ir': 6620, 'em_idle': 5988, 'em_max': 19979}",0,4,0.71,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,4480,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 71, 'maneuvering': 49, 'retro': 36, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 52, 'yaw': 48, 'roll': 180, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.48, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Racing'],competition,"Origin Jumpwork’s 300 Series is the ultimate fusion of elegance and power. Every component, every part is individually calibrated, so no matter which model and options you choose, your ship will stay in perfect harmony as the ultimate in astroengineering.  By far the fastest member of the family, the 350r refocus all of the 300’s power and translates it into pure speed.
",2,"{'name': 'Origin Jumpworks', 'code': 'ORIG'}","{'claim_time': 10.14, 'expedite_time': 3.38, 'expedite_cost': 4573}",[],2025-02-21T06:56:48.000000Z,4.1.0-LIVE.9650658,10,2,flight-ready,None,small,125,https://robertsspaceindustries.com/pledge/ships/origin-300/350r,[],"[{'title': 'Standard Edition', 'price': 125, 'available': 1, 'imported_at': '2024-01-09T23:00:57.000000Z'}, {'title': 'Warbond Edition', 'price': 115, 'available': 1, 'imported_at': '2024-02-24T23:00:53.000000Z'}]"
400i,718f4435-628b-4436-bb80-bf9cfef9a945,400i,400i,ORIG_400i,"{'length': 56, 'beam': 32, 'height': 12.5}","{'ir': 9894, 'em_idle': 11062, 'em_max': 39663}",0,42,3.81,0,"{'min': 3, 'max': None, 'weapon': 2, 'operation': None}",0,45400,"{'scm': 215, 'max': 1150, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 50, 'usage': {'main': 272, 'maneuvering': 118, 'retro': 133, 'vtol': 35}}","{'quantum_speed': 201000000, 'quantum_spool_time': 6, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 35, 'yaw': 35, 'roll': 70, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.5, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Touring'],exploration,"To explore the stars is a most noble endeavor, and Origin Jumpworks has risen to the occasion in crafting the 400i, the ultimate high-performance pathfinder. Representing a harmonious concourse of style, quality, and sophistication, the 400i exhibits class-leading range, substantial defensive capabilities, and a factory-equipped scanning array, while maintaining the comfort and elegance Origin is known for. Take on the harshest corners of the galaxy without compromise.",4,"{'name': 'Origin Jumpworks', 'code': 'ORIG'}","{'claim_time': 22.5, 'expedite_time': 7.5, 'expedite_cost': 12027}",[],2025-02-21T06:56:49.000000Z,4.1.0-LIVE.9650658,223,90,flight-ready,None,large,250,https://robertsspaceindustries.com/pledge/ships/400i/400i,"[{'name': '325a', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/039a2768-1aff-4969-b2a4-ed8aeb21dae1', 'version': '4.1.1-LIVE.9768350'}]","[{'title': 'Standard Edition', 'price': 250, 'available': 1, 'imported_at': '2024-01-07T12:54:05.000000Z'}, {'title': 'Warbond Edition', 'price': 220, 'available': 1, 'imported_at': '2024-01-07T12:54:05.000000Z'}, {'title': 'Warbond Edition', 'price': 230, 'available': 1, 'imported_at': '2024-01-09T23:01:00.000000Z'}, {'title': 'Warbond Edition', 'price': 230, 'available': 1, 'imported_at': '2024-02-08T23:00:14.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 250, 'available': 1, 'imported_at': '2024-05-07T22:00:47.000000Z'}, {'title': 'Warbond Edition', 'price': 230, 'available': 1, 'imported_at': '2024-11-29T23:01:32.000000Z'}]"
600i Explorer,,600i Explorer,600i-explorer,,"{'length': 91.5, 'beam': 52, 'height': 17}",,1576792,40,,,"{'min': 2, 'max': 5}",,,"{'scm': 165, 'max': 975}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Expedition'],exploration,"This multi-role luxury vessel from Origin Jumpworks features an exquisitely detailed hull design that balances performance and versatility in a sleek and timeless form. The 600i is designed with a cutting-edge modular technology, allowing you to customize your ship for your needs. Looking to stamp your name in history with the discovery of a new star system? The 600i's Explorer module swaps the lounge for a robust scanning station as well as additional utility hardpoints to increase the ship's effectiveness even more.",,"{'code': 'ORIG', 'name': 'Origin Jumpworks'}",,,2025-04-23T16:40:57.000000Z,,141,55,flight-ready,None,large,475,https://robertsspaceindustries.com/pledge/ships/600i/600i-Explorer,"[{'name': '325a', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/039a2768-1aff-4969-b2a4-ed8aeb21dae1', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Cyclone', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/8dbb42e4-e127-4153-9694-2845142c3e51', 'version': '4.1.1-LIVE.9768350'}]","[{'title': 'BIS Warbond Edition', 'price': 445, 'available': 1, 'imported_at': '2024-01-07T12:54:04.000000Z'}, {'title': 'Warbond Edition', 'price': 445, 'available': 1, 'imported_at': '2024-01-09T23:00:58.000000Z'}, {'title': 'Standard Edition', 'price': 475, 'available': 1, 'imported_at': '2024-01-09T23:00:58.000000Z'}, {'title': 'Warbond Edition', 'price': 445, 'available': 1, 'imported_at': '2024-02-08T23:00:13.000000Z'}, {'title': 'Warbond Edition', 'price': 445, 'available': 1, 'imported_at': '2024-12-04T23:01:21.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 475, 'available': 1, 'imported_at': '2025-05-06T22:00:59.000000Z'}]"
600i Touring,11b660a2-c77c-490b-9e85-ee70400c5cf8,600i Touring,600i-touring,ORIG_600i_Touring,"{'length': 91.5, 'beam': 52, 'height': 17}","{'ir': 14590, 'em_idle': 19697, 'em_max': 51331}",0,20,4.46,0,"{'min': 1, 'max': None, 'weapon': 2, 'operation': None}",0,112200,"{'scm': 165, 'max': 975, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 150, 'usage': {'main': 579, 'maneuvering': 491, 'retro': 290, 'vtol': 0}}","{'quantum_speed': 201000000, 'quantum_spool_time': 6, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 19, 'yaw': 19, 'roll': 30, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.48, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Touring'],exploration,"Let the voyage begin with the 2947 600i from Origin Jumpworks. This multi-role luxury vessel from Origin Jumpworks features an exquisitely detailed hull design that balances performance and versatility in a sleek and timeless form. The 600i is designed with a cutting-edge modular technology, allowing you to customize your ship for your needs. Taking the family on a long-distance trip across the stars? The Touring module lets your guests relax in ease with stunning furniture from some of the Empire's top designers.",5,"{'name': 'Origin Jumpworks', 'code': 'ORIG'}","{'claim_time': 35.099, 'expedite_time': 11.699, 'expedite_cost': 17550}",[],2025-02-21T06:56:53.000000Z,4.1.0-LIVE.9650658,140,55,flight-ready,None,large,435,https://robertsspaceindustries.com/pledge/ships/600i/600i-Touring,"[{'name': '325a', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/039a2768-1aff-4969-b2a4-ed8aeb21dae1', 'version': '4.1.1-LIVE.9768350'}]","[{'title': 'Standard Edition', 'price': 435, 'available': 1, 'imported_at': '2024-01-09T23:00:58.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 435, 'available': 1, 'imported_at': '2025-05-06T22:00:59.000000Z'}, {'title': 'Centurion Subscribers Edition', 'price': 435, 'available': 1, 'imported_at': '2025-05-06T22:00:59.000000Z'}]"
